level,committee,chamber,hour_bin,weekday_bin,bucket_minutes,n_windows,n_rows_total,duplicate_row_rate_mean,duplicate_row_rate_median,median_n_rows,shrink_k
bucket,,,-1,-1,1,127907,408220,0.006709768881819331,0.0,1.0,10.0
bucket,,,-1,-1,5,66247,408220,0.01952660558336869,0.0,2.0,10.0
bucket,,,-1,-1,15,35897,408220,0.02759371997772981,0.0,2.0,10.0
bucket,,,-1,-1,30,23235,408220,0.031243192804718146,0.0,3.0,10.0
bucket,,,-1,-1,60,14657,408220,0.03406554191539994,0.0,4.0,10.0
bucket,,,-1,-1,120,9132,408220,0.036578835653303644,0.0,5.0,10.0
bucket,,,-1,-1,240,5665,408220,0.0383333233749247,0.0,6.0,10.0
bucket,,,-1,-1,480,3496,408220,0.03983926319204278,0.0,8.0,10.0
bucket,,,-1,-1,720,2803,408220,0.040955720701007566,0.0,8.0,10.0
bucket,,,-1,-1,1440,1806,408220,0.04407488925529797,0.0,12.0,12.0
chamber_hour_weekday_bucket,,house,0,0,1,165,245,0.005454545454545455,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,0,1,1,249,369,0.001606425702811245,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,0,2,1,88,96,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,0,3,1,141,287,0.008274231678486997,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,0,4,1,102,448,0.0,0.0,4.0,10.0
chamber_hour_weekday_bucket,,house,0,5,1,115,324,0.0,0.0,2.0,10.0
chamber_hour_weekday_bucket,,house,0,6,1,100,193,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,1,0,1,121,166,0.005509641873278236,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,1,1,1,160,214,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,1,2,1,49,51,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,1,3,1,101,172,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,1,4,1,91,327,0.0,0.0,4.0,10.0
chamber_hour_weekday_bucket,,house,1,5,1,86,188,0.011627906976744186,0.0,2.0,10.0
chamber_hour_weekday_bucket,,house,1,6,1,67,107,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,2,0,1,76,95,0.013157894736842105,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,2,1,1,134,165,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,2,2,1,25,25,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,2,3,1,69,99,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,2,4,1,83,370,0.0030120481927710845,0.0,5.0,10.0
chamber_hour_weekday_bucket,,house,2,5,1,64,104,0.010416666666666666,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,2,6,1,54,78,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,3,0,1,73,97,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,3,1,1,143,174,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,3,2,1,30,31,0.03333333333333333,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,3,3,1,90,160,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,3,4,1,82,335,0.0,0.0,4.0,10.0
chamber_hour_weekday_bucket,,house,3,5,1,62,120,0.016129032258064516,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,3,6,1,62,83,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,4,0,1,127,217,0.005249343832020997,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,4,1,1,184,282,0.005434782608695652,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,4,2,1,43,44,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,4,3,1,130,349,0.0017094017094017094,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,4,4,1,88,378,0.013663419913419912,0.0,4.0,10.0
chamber_hour_weekday_bucket,,house,4,5,1,86,180,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,4,6,1,72,123,0.035416666666666666,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,5,0,1,219,469,0.0045662100456621,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,5,1,1,448,844,0.01239177489177489,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,5,2,1,119,126,0.008403361344537815,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,5,3,1,187,594,0.012490183613178267,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,5,4,1,137,677,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,5,5,1,153,376,0.006535947712418301,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,5,6,1,93,181,0.0,0.0,2.0,10.0
chamber_hour_weekday_bucket,,house,6,0,1,358,834,0.00802790474578184,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,6,1,1,768,1673,0.0061735284391534395,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,6,2,1,265,302,0.0037735849056603774,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,6,3,1,359,1191,0.011009417694654465,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,6,4,1,237,1149,0.014010602618197554,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,6,5,1,244,779,0.020544611287137807,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,6,6,1,155,350,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,7,0,1,714,1833,0.013565426170468187,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,7,1,1,850,1446,0.005597572362278244,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,7,2,1,313,399,0.008945686900958465,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,7,3,1,312,1682,0.006481735856735857,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,7,4,1,220,1433,0.00633690777088599,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,7,5,1,385,1405,0.016947032256428744,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,7,6,1,264,762,0.009806397306397305,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,8,0,1,941,2702,0.010599487257067075,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,8,1,1,996,1608,0.00609103078982597,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,8,2,1,495,633,0.015488215488215487,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,8,3,1,429,2218,0.012021795001459015,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,8,4,1,339,1877,0.006247440422088753,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,8,5,1,458,1779,0.0034410637051664984,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,8,6,1,431,1143,0.0010241945549711348,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,9,0,1,1166,3000,0.0035104021362011364,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,9,1,1,994,1572,0.01062725559707451,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,9,2,1,457,564,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,9,3,1,379,2696,0.0032313293471474525,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,9,4,1,369,2161,0.007003391275889173,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,9,5,1,437,1779,0.005337861562117854,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,9,6,1,442,1206,0.0029754559166323873,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,10,0,1,1185,3110,0.008194827239785773,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,10,1,1,778,1183,0.016816623821765207,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,10,2,1,421,556,0.012668250197941409,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,10,3,1,371,2881,0.007541035320790858,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,10,4,1,342,2066,0.0007458442762058044,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,10,5,1,472,1827,0.010734463276836158,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,10,6,1,432,1114,0.001189557613168724,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,11,0,1,1158,3335,0.0070496509169012305,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,11,1,1,787,1113,0.0029648454044896226,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,11,2,1,511,723,0.001304631441617743,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,11,3,1,322,2791,0.007743903183274933,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,11,4,1,346,1910,0.002201264110478663,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,11,5,1,429,3097,0.007329721009725692,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,11,6,1,420,1036,0.005005550005550006,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,12,0,1,1170,3589,0.005401085796873902,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,12,1,1,776,1080,0.004725085910652921,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,12,2,1,474,633,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,12,3,1,305,2511,0.0010956597728785406,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,12,4,1,399,1902,0.007616961246725312,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,12,5,1,366,1990,0.013136959035771925,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,12,6,1,415,936,0.004096385542168675,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,13,0,1,948,3041,0.006383939701220934,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,13,1,1,500,724,0.010333333333333332,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,13,2,1,376,511,0.008865248226950354,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,13,3,1,337,2408,0.007689493701758419,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,13,4,1,429,2107,0.005684727766800009,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,13,5,1,400,1581,0.00936875696767001,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,13,6,1,481,1133,0.008316008316008316,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,14,0,1,895,2797,0.006515060823720041,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,14,1,1,513,881,0.003248862897985705,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,14,2,1,353,453,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,14,3,1,338,2258,0.0011183367914137145,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,14,4,1,470,1891,0.0008064946167752943,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,14,5,1,429,1451,0.007011750432803064,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,14,6,1,462,1196,0.002473716759431045,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,15,0,1,848,2557,0.009053637221227954,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,15,1,1,378,501,0.0026455026455026454,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,15,2,1,392,510,0.007653061224489796,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,15,3,1,347,2301,0.0010621346039916364,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,15,4,1,386,1667,0.01090796982975234,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,15,5,1,393,1379,0.005192455268791147,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,15,6,1,494,1258,0.0310307674781359,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,16,0,1,898,2465,0.009262940085519674,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,16,1,1,410,513,0.007479674796747967,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,16,2,1,455,1602,0.009227914942200655,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,16,3,1,355,2071,0.005659319199785311,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,16,4,1,435,1606,0.0017492985385495238,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,16,5,1,340,1217,0.0036385605078842233,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,16,6,1,664,1812,0.006692545583403131,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,17,0,1,930,2661,0.014317286905904312,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,17,1,1,363,445,0.0027548209366391185,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,17,2,1,483,3546,0.0027006070455071972,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,17,3,1,356,2251,0.004508977021662777,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,17,4,1,405,1753,0.010565353134884724,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,17,5,1,278,1052,0.0003996802557953637,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,17,6,1,690,1688,0.003768115942028985,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,18,0,1,969,2420,0.006977517678823373,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,18,1,1,412,519,0.005663430420711974,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,18,2,1,466,3490,0.00713434346761041,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,18,3,1,301,2218,0.007744964775451389,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,18,4,1,467,2109,0.005701779440206807,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,18,5,1,317,1005,0.004468980021030493,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,18,6,1,600,1497,0.007857103952692188,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,19,0,1,971,2415,0.00807170837429133,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,19,1,1,484,566,0.01652892561983471,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,19,2,1,503,3424,0.008368072732946055,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,19,3,1,430,2034,0.008201054235937956,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,19,4,1,424,1940,0.007775044574064945,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,19,5,1,305,1040,0.0027452511059068434,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,19,6,1,673,1624,0.011587560120249571,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,20,0,1,1030,2445,0.006780491977221665,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,20,1,1,459,537,0.002178649237472767,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,20,2,1,507,3226,0.012955325731782638,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,20,3,1,403,2053,0.015762462101056973,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,20,4,1,423,1794,0.006813002326415833,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,20,5,1,316,1019,0.003919609149455918,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,20,6,1,701,2458,0.003968073443900888,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,21,0,1,966,2197,0.006728778467908903,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,21,1,1,398,460,0.007537688442211055,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,21,2,1,482,2141,0.008502399487473122,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,21,3,1,406,1863,0.006398176128689024,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,21,4,1,359,1513,0.01097404607153911,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,21,5,1,280,834,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,21,6,1,626,1690,0.0019154537924505975,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,22,0,1,730,1563,0.006305974444572349,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,22,1,1,314,370,0.007430997876857749,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,22,2,1,403,1279,0.0018249165514242654,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,22,3,1,288,1235,0.008109833971902937,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,22,4,1,268,1043,0.005649494621752895,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,22,5,1,211,541,0.01263823064770932,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,22,6,1,418,1007,0.013609082514899689,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,23,0,1,483,806,0.0062161096322587,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,23,1,1,164,175,0.006097560975609756,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,23,2,1,258,629,0.0022574324899906294,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,23,3,1,178,737,0.0017388978063135367,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,23,4,1,185,565,0.007998712998713,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,23,5,1,154,328,0.015584415584415584,0.0,1.0,10.0
chamber_hour_weekday_bucket,,house,23,6,1,257,479,0.01199740596627756,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,0,0,1,214,319,0.004672897196261682,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,0,1,1,142,155,0.004694835680751174,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,0,2,1,151,224,0.022516556291390728,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,0,3,1,177,593,0.008205542103847187,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,0,4,1,155,402,0.0,0.0,2.0,10.0
chamber_hour_weekday_bucket,,senate,0,5,1,106,158,0.018867924528301886,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,0,6,1,84,131,0.005952380952380952,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,1,0,1,133,175,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,1,1,1,68,69,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,1,2,1,91,112,0.004395604395604396,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,1,3,1,117,319,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,1,4,1,112,253,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,1,5,1,66,83,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,1,6,1,50,69,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,2,0,1,82,112,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,2,1,1,70,75,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,2,2,1,61,79,0.02459016393442623,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,2,3,1,86,226,0.00872093023255814,0.0,2.0,10.0
chamber_hour_weekday_bucket,,senate,2,4,1,88,186,0.0037878787878787876,0.0,1.5,10.0
chamber_hour_weekday_bucket,,senate,2,5,1,53,63,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,2,6,1,49,62,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,3,0,1,110,154,0.00909090909090909,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,3,1,1,61,64,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,3,2,1,63,96,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,3,3,1,102,335,0.00392156862745098,0.0,2.0,10.0
chamber_hour_weekday_bucket,,senate,3,4,1,97,201,0.0,0.0,2.0,10.0
chamber_hour_weekday_bucket,,senate,3,5,1,54,64,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,3,6,1,44,53,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,4,0,1,141,234,0.009456264775413711,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,4,1,1,90,99,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,4,2,1,96,175,0.0078125,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,4,3,1,121,648,0.0007513148009015778,0.0,2.0,10.0
chamber_hour_weekday_bucket,,senate,4,4,1,129,398,0.0,0.0,2.0,10.0
chamber_hour_weekday_bucket,,senate,4,5,1,56,74,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,4,6,1,47,65,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,5,0,1,254,580,0.0045427013930950935,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,5,1,1,203,291,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,5,2,1,170,422,0.0031512605042016808,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,5,3,1,222,1259,0.001475159369896212,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,5,4,1,188,843,0.0008865248226950354,0.0,2.5,10.0
chamber_hour_weekday_bucket,,senate,5,5,1,161,253,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,5,6,1,108,174,0.0,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,6,0,1,454,1012,0.003083700440528634,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,6,1,1,356,558,0.007022471910112359,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,6,2,1,279,677,0.0007168458781362007,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,6,3,1,345,1963,0.006907585168454734,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,6,4,1,312,1595,0.013751526251526251,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,6,5,1,227,451,0.005384238864415076,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,6,6,1,189,440,0.005291005291005291,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,7,0,1,753,2016,0.01662750706575408,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,7,1,1,457,810,0.00561633843909555,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,7,2,1,335,1091,0.01016131463892658,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,7,3,1,445,2625,0.0060411119800232215,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,7,4,1,413,2318,0.002697645012315906,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,7,5,1,309,782,0.008409336079238992,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,7,6,1,411,1254,0.00956873123603819,0.0,2.0,10.0
chamber_hour_weekday_bucket,,senate,8,0,1,885,2774,0.010900188323917138,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,8,1,1,526,920,0.0037117508600398334,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,8,2,1,440,1375,0.014376763587289903,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,8,3,1,552,3085,0.0023841711440221523,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,8,4,1,478,3567,0.007790499379424766,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,8,5,1,450,1083,0.007922558922558923,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,8,6,1,525,1550,0.0026813186813186814,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,9,0,1,899,2654,0.0028919167117523715,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,9,1,1,515,960,0.009708737864077669,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,9,2,1,424,1281,0.00610587002096436,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,9,3,1,593,2897,0.002953422144457981,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,9,4,1,500,3528,0.006073242198823594,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,9,5,1,450,1024,0.008592592592592593,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,9,6,1,591,1451,0.004455724760293288,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,10,0,1,814,2339,0.008886514973471496,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,10,1,1,401,938,0.0022998060404544195,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,10,2,1,375,1194,0.0057777777777777775,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,10,3,1,593,2554,0.01026593273079921,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,10,4,1,509,4124,0.00236944184985694,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,10,5,1,470,1074,0.009677627337201806,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,10,6,1,586,1272,0.007110352673492606,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,11,0,1,767,2312,0.007670325955853987,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,11,1,1,352,605,0.0045995670995671,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,11,2,1,340,1111,0.0013305322128851539,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,11,3,1,547,2681,0.006141569927368681,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,11,4,1,469,3845,0.007450006247833011,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,11,5,1,391,903,0.009931798806479113,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,11,6,1,492,1034,0.0004782400765184122,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,12,0,1,748,2412,0.00458458603382702,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,12,1,1,427,946,0.00234192037470726,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,12,2,1,303,1063,0.014804337576614805,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,12,3,1,512,2648,0.004592752134743762,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,12,4,1,443,2317,0.004535610489335094,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,12,5,1,387,798,0.010508182601205857,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,12,6,1,541,1139,0.005419257267686103,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,13,0,1,634,2394,0.0040332336525971705,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,13,1,1,394,718,0.0012690355329949238,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,13,2,1,259,1000,0.006046431046431046,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,13,3,1,460,2748,0.007095056150854339,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,13,4,1,409,987,0.0020864580551046823,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,13,5,1,380,649,0.002631578947368421,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,13,6,1,668,1519,0.007360279441117765,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,14,0,1,662,3203,0.008772213589470976,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,14,1,1,324,477,0.0030864197530864196,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,14,2,1,300,1294,0.014052287581699347,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,14,3,1,482,2596,0.0013452704227121474,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,14,4,1,520,1238,0.004452214452214453,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,14,5,1,367,623,0.012443233424159855,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,14,6,1,633,1293,0.013504715400449998,0.0,1.0,10.0
chamber_hour_weekday_bucket,,senate,15,0,1,632,1200,0.0034282700421940926,0.0,1.0,10.0
